# Z-Coordinate, Y-Displacement
-3.576279e-09, -3.577659e-02
4.999997e-03, -3.784109e-02
9.999996e-03, -4.001754e-02
1.500000e-02, -4.233104e-02
2.000000e-02, -4.473462e-02
2.500000e-02, -4.725819e-02
3.000000e-02, -4.983904e-02
3.500000e-02, -5.251686e-02
4.000000e-02, -5.522061e-02
4.500000e-02, -5.799854e-02
5.000000e-02, -6.077733e-02
5.500000e-02, -6.361013e-02
5.999999e-02, -6.642761e-02
6.500000e-02, -6.928197e-02
6.999999e-02, -7.211301e-02
7.500000e-02, -7.496653e-02
8.000000e-02, -7.779458e-02
8.499999e-02, -8.063305e-02
9.000000e-02, -8.344722e-02
9.500000e-02, -8.626180e-02
9.999999e-02, -8.905454e-02
1.050000e-01, -9.183957e-02
1.100000e-01, -9.460526e-02
1.150000e-01, -9.735683e-02
1.200000e-01, -1.000909e-01
1.250000e-01, -1.028060e-01
1.300000e-01, -1.055046e-01
1.350000e-01, -1.081806e-01
1.400000e-01, -1.108403e-01
1.450000e-01, -1.134750e-01
1.500000e-01, -1.160929e-01
1.550000e-01, -1.186841e-01
1.600000e-01, -1.212574e-01
1.650000e-01, -1.238031e-01
1.700000e-01, -1.263296e-01
1.750000e-01, -1.288278e-01
1.800000e-01, -1.313054e-01
1.850000e-01, -1.337542e-01
1.900000e-01, -1.361811e-01
1.950000e-01, -1.385786e-01
2.000000e-01, -1.409528e-01
2.050000e-01, -1.432973e-01
2.100000e-01, -1.456170e-01
2.150000e-01, -1.479066e-01
2.200000e-01, -1.501701e-01
2.250000e-01, -1.524029e-01
2.300000e-01, -1.546083e-01
2.350000e-01, -1.567827e-01
2.400000e-01, -1.589283e-01
2.450000e-01, -1.610422e-01
2.500000e-01, -1.631263e-01
2.550000e-01, -1.651781e-01
2.600000e-01, -1.671989e-01
2.650000e-01, -1.691869e-01
2.700000e-01, -1.711430e-01
2.750000e-01, -1.730655e-01
2.800000e-01, -1.749552e-01
2.850000e-01, -1.768106e-01
2.900000e-01, -1.786324e-01
2.950000e-01, -1.804193e-01
3.000000e-01, -1.821715e-01
3.050000e-01, -1.838881e-01
3.100000e-01, -1.855692e-01
3.150000e-01, -1.872139e-01
3.200000e-01, -1.888220e-01
3.250000e-01, -1.903928e-01
3.300000e-01, -1.919260e-01
3.350000e-01, -1.934209e-01
3.400000e-01, -1.948771e-01
3.450000e-01, -1.962939e-01
3.500000e-01, -1.976709e-01
3.550000e-01, -1.990072e-01
3.600000e-01, -2.003026e-01
3.650000e-01, -2.015562e-01
3.700000e-01, -2.027675e-01
3.750000e-01, -2.039358e-01
3.800000e-01, -2.050607e-01
3.850000e-01, -2.061415e-01
3.900000e-01, -2.071776e-01
3.950000e-01, -2.081686e-01
4.000000e-01, -2.091138e-01
4.050000e-01, -2.100127e-01
4.100000e-01, -2.108649e-01
4.150000e-01, -2.116698e-01
4.200000e-01, -2.124269e-01
4.250000e-01, -2.131359e-01
4.300000e-01, -2.137963e-01
4.350000e-01, -2.144075e-01
4.400000e-01, -2.149692e-01
4.450000e-01, -2.154810e-01
4.500000e-01, -2.159425e-01
4.550000e-01, -2.163532e-01
4.600000e-01, -2.167129e-01
4.650000e-01, -2.170210e-01
4.700000e-01, -2.172773e-01
4.750000e-01, -2.174815e-01
4.800000e-01, -2.176332e-01
4.850000e-01, -2.177322e-01
4.900000e-01, -2.177782e-01
4.950000e-01, -2.177711e-01
5.000000e-01, -2.177106e-01
5.050000e-01, -2.175967e-01
5.100000e-01, -2.174293e-01
5.150000e-01, -2.172083e-01
5.200000e-01, -2.169338e-01
5.250000e-01, -2.166059e-01
5.300000e-01, -2.162246e-01
5.350000e-01, -2.157900e-01
5.400000e-01, -2.153024e-01
5.450000e-01, -2.147620e-01
5.500000e-01, -2.141691e-01
5.550000e-01, -2.135238e-01
5.600000e-01, -2.128265e-01
5.650000e-01, -2.120776e-01
5.700000e-01, -2.112773e-01
5.750000e-01, -2.104261e-01
5.800000e-01, -2.095242e-01
5.850000e-01, -2.085721e-01
5.900000e-01, -2.075702e-01
5.950000e-01, -2.065189e-01
6.000000e-01, -2.054185e-01
6.050000e-01, -2.042696e-01
6.100000e-01, -2.030726e-01
6.149999e-01, -2.018279e-01
6.199999e-01, -2.005361e-01
6.249999e-01, -1.991976e-01
6.299999e-01, -1.978129e-01
6.349999e-01, -1.963827e-01
6.399999e-01, -1.949074e-01
6.449999e-01, -1.933876e-01
6.500000e-01, -1.918240e-01
6.550000e-01, -1.902170e-01
6.600000e-01, -1.885674e-01
6.650000e-01, -1.868757e-01
6.700000e-01, -1.851425e-01
6.750000e-01, -1.833684e-01
6.799999e-01, -1.815540e-01
6.849999e-01, -1.796998e-01
6.899999e-01, -1.778065e-01
6.949999e-01, -1.758746e-01
6.999999e-01, -1.739045e-01
7.049999e-01, -1.718969e-01
7.100000e-01, -1.698520e-01
7.150000e-01, -1.677705e-01
7.200000e-01, -1.656528e-01
7.250000e-01, -1.634992e-01
7.300000e-01, -1.613102e-01
7.350000e-01, -1.590862e-01
7.399999e-01, -1.568276e-01
7.449999e-01, -1.545347e-01
7.499999e-01, -1.522080e-01
7.549999e-01, -1.498477e-01
7.599999e-01, -1.474545e-01
7.649999e-01, -1.450285e-01
7.699999e-01, -1.425703e-01
7.750000e-01, -1.400802e-01
7.800000e-01, -1.375586e-01
7.850000e-01, -1.350060e-01
7.900000e-01, -1.324228e-01
7.950000e-01, -1.298094e-01
8.000000e-01, -1.271662e-01
8.049999e-01, -1.244936e-01
8.099999e-01, -1.217921e-01
8.149999e-01, -1.190621e-01
8.199999e-01, -1.163039e-01
8.249999e-01, -1.135181e-01
8.299999e-01, -1.107050e-01
8.350000e-01, -1.078650e-01
8.400000e-01, -1.049985e-01
8.450000e-01, -1.021061e-01
8.500000e-01, -9.918803e-02
8.550000e-01, -9.624485e-02
8.600000e-01, -9.327701e-02
8.649999e-01, -9.028500e-02
8.699999e-01, -8.726934e-02
8.749999e-01, -8.423060e-02
8.799999e-01, -8.116935e-02
8.849999e-01, -7.808623e-02
8.899999e-01, -7.498186e-02
8.949999e-01, -7.185697e-02
8.999999e-01, -6.871226e-02
9.049999e-01, -6.554849e-02
9.099999e-01, -6.236646e-02
9.149999e-01, -5.916698e-02
9.199999e-01, -5.595089e-02
9.249999e-01, -5.271906e-02
9.299999e-01, -4.947238e-02
9.349999e-01, -4.621174e-02
9.399999e-01, -4.293806e-02
9.449999e-01, -3.965225e-02
9.499999e-01, -3.635522e-02
9.549999e-01, -3.304798e-02
9.599999e-01, -2.973145e-02
9.649999e-01, -2.640657e-02
9.699999e-01, -2.307433e-02
9.749999e-01, -1.973569e-02
9.799999e-01, -1.639165e-02
9.849999e-01, -1.304320e-02
9.899999e-01, -9.691359e-03
